Ligand,Receptor,LRscore,ligand_mean_expr,receptor_mean_expr,ligand_pct_expr,receptor_pct_expr
COMP__Stroma,IL6ST__Malignant,2.5402163731893874,0.8062875301300323,3.150509313693242,13.717746182201159,67.29857819905213
HLA-C__Malignant,CD74__Macrophage,2.5157459497307273,3.9641767409883983,0.6346200268314651,68.64139020537124,8.293838862559241
MDK__Malignant,SDC4__Stroma,2.506661061007788,2.6881703528770178,0.9324785009718713,65.376513954713,16.95629278567667
TIMP3__Stroma,PRLR__Malignant,2.484086551275118,1.0308663439741617,2.409707684992945,16.824644549763033,61.87467087941022
TIMP3__Stroma,IFITM1__Malignant,2.4823720652246433,1.0308663439741617,2.4080445343231256,16.824644549763033,62.34860452869931
THBS1__Stroma,CD55__Malignant,2.4821420830673975,0.9685631156406587,2.5627055614497336,16.53501843075303,63.90205371248025
CD44__Malignant,CD81__Stroma,2.478048701831143,1.900907837539627,1.3036132803989686,58.58346498156924,19.40494997367035
MDK__Malignant,ITGB1__Stroma,2.4720550013402334,2.6881703528770178,0.9196050386816123,65.376513954713,15.876777251184834
COMP__Stroma,ENO1__Malignant,2.463415049549257,0.8062875301300323,3.0552562919483264,13.717746182201159,67.14060031595577
PSAP__Macrophage,CD74__Malignant,2.4571338860221834,0.5790366470664519,4.243485966683894,8.293838862559241,69.03633491311216
CD44__Malignant,CD74__Stroma,2.455177392524359,1.900907837539627,1.2915814980815332,58.58346498156924,20.221169036334913
GNAS__Malignant,CAP1__Stroma,2.454723500921543,3.67030013569406,0.6688072937275878,68.27277514481305,13.217482885729332
COMP__Stroma,ERBB2__Malignant,2.4490903605567964,0.8062875301300323,3.0374900628338186,13.717746182201159,66.58767772511848
THBS1__Stroma,AMFR__Malignant,2.449049191582142,0.9685631156406587,2.528538566082203,16.53501843075303,62.82253817798842
CD24__Malignant,CD74__Macrophage,2.4478437084839726,3.8571800526144475,0.6346200268314651,68.19378620326488,8.293838862559241
HLA-DRA__Macrophage,CD74__Malignant,2.4476571763866954,0.5768034101216638,4.243485966683894,8.293838862559241,69.03633491311216
ADAM15__Malignant,ITGB1__Stroma,2.447357589521074,2.6613138103611496,0.9196050386816123,64.90258030542391,15.876777251184834
UBA52__Malignant,CD74__Macrophage,2.441131004183589,3.846602535333912,0.6346200268314651,68.74670879410216,8.293838862559241
COMP__Stroma,CD151__Malignant,2.4384078299267653,0.8062875301300323,3.02424102916923,13.717746182201159,67.19325961032122
GNAS__Malignant,LAMP2__Stroma,2.4346563281207634,3.67030013569406,0.6633398463639175,68.27277514481305,12.76987888362296
HMGB1__Malignant,SDC1__Stroma,2.432315591081049,2.8723144165857164,0.8468138366176191,65.8504476040021,15.297525013164822
CD47__Malignant,CD81__Stroma,2.429297369940515,1.8635107561937638,1.3036132803989686,56.6350710900474,19.40494997367035
CXCL14__Malignant,ITGB5__Stroma,2.4206885130516462,2.849692624184015,0.8494560053629607,66.45602948920485,15.11321748288573
TIMP3__Stroma,ATP6AP2__Malignant,2.4176182255055396,1.0308663439741617,2.3452295631121474,16.824644549763033,62.95418641390206
CD47__Malignant,CD74__Stroma,2.406876014175792,1.8635107561937638,1.2915814980815332,56.6350710900474,20.221169036334913
