pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score
ANGPT1__Bcell|PVR__Stroma,ANGPT1,PVR,Bcell,Stroma,20,768,2.136357e-06
ICAM2__Tcell|TNFRSF25__Macrophage,ICAM2,TNFRSF25,Tcell,Macrophage,9,315,2.1338744e-06
F10__Bcell|ROR2__Stroma,F10,ROR2,Bcell,Stroma,20,768,2.1320661e-06
HGF__Bcell|EDNRA__Stroma,HGF,EDNRA,Bcell,Stroma,20,768,2.1318062e-06
SELPLG__Tcell|ENG__Bcell,SELPLG,ENG,Tcell,Bcell,9,20,2.1308597e-06
SEMA3D__Bcell|SCARB1__Stroma,SEMA3D,SCARB1,Bcell,Stroma,20,768,2.1259345e-06
TNFSF14__Tcell|VANGL1__Stroma,TNFSF14,VANGL1,Tcell,Stroma,9,768,2.1226072e-06
BMP2__Tcell|CD163__Macrophage,BMP2,CD163,Tcell,Macrophage,9,315,2.1225953e-06
DUSP18__Tcell|TNFRSF6B__Stroma,DUSP18,TNFRSF6B,Tcell,Stroma,9,768,2.1224023e-06
COL4A3__Bcell|PTPRK__Stroma,COL4A3,PTPRK,Bcell,Stroma,20,768,2.1182836e-06
WNT5A__Tcell|CD74__Stroma,WNT5A,CD74,Tcell,Stroma,9,768,2.1177273e-06
ANGPT1__Bcell|ITGB4__Stroma,ANGPT1,ITGB4,Bcell,Stroma,20,768,2.1163028e-06
CTSG__Bcell|LAG3__Macrophage,CTSG,LAG3,Bcell,Macrophage,20,315,2.1157794e-06
LAMC3__Bcell|EDNRA__Stroma,LAMC3,EDNRA,Bcell,Stroma,20,768,2.1154033e-06
JAM2__Tcell|SDC2__Macrophage,JAM2,SDC2,Tcell,Macrophage,9,315,2.1149351e-06
CFH__Tcell|MRC1__Bcell,CFH,MRC1,Tcell,Bcell,9,20,2.1143032e-06
ANGPT2__Bcell|S1PR1__Stroma,ANGPT2,S1PR1,Bcell,Stroma,20,768,2.1141107e-06
COL4A3__Bcell|ITGB4__Stroma,COL4A3,ITGB4,Bcell,Stroma,20,768,2.1126798e-06
ANGPT1__Bcell|ITGAM__Macrophage,ANGPT1,ITGAM,Bcell,Macrophage,20,315,2.1096973e-06
TNFSF14__Tcell|NRP2__Macrophage,TNFSF14,NRP2,Tcell,Macrophage,9,315,2.1090325e-06
FASLG__Tcell|CD2__Stroma,FASLG,CD2,Tcell,Stroma,9,768,2.1090034e-06
EPHA4__Tcell|TGFBR2__Bcell,EPHA4,TGFBR2,Tcell,Bcell,9,20,2.1083424e-06
CCL13__Bcell|SIRPA__Stroma,CCL13,SIRPA,Bcell,Stroma,20,768,2.107215e-06
WNT5A__Tcell|CD81__Macrophage,WNT5A,CD81,Tcell,Macrophage,9,315,2.10523e-06
LAMA2__Bcell|CDH1__Endothelial,LAMA2,CDH1,Bcell,Endothelial,20,62,2.1050953e-06
