Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Stroma,B2M,CAP1,19.919507337489033,Malignant_B2M_Stroma_CAP1
Malignant,Stroma,LAMB2,ITGB1,13.616525928120167,Malignant_LAMB2_Stroma_ITGB1
Malignant,Stroma,HLA-B,CAP1,18.479403567823724,Malignant_HLA-B_Stroma_CAP1
Malignant,Stroma,IGFBP4,ITGB5,15.693336420975394,Malignant_IGFBP4_Stroma_ITGB5
Malignant,Stroma,HLA-C,ITGB5,18.10677514619184,Malignant_HLA-C_Stroma_ITGB5
Stroma,Malignant,FN1,ERBB2,20.422001103654615,Stroma_FN1_Malignant_ERBB2
Macrophage,Malignant,GRN,ERBB2,18.404578039445685,Macrophage_GRN_Malignant_ERBB2
Macrophage,Malignant,HLA-DMA,CD151,12.211217639581223,Macrophage_HLA-DMA_Malignant_CD151
Macrophage,Malignant,LYZ,SDC1,16.545624030202713,Macrophage_LYZ_Malignant_SDC1
Macrophage,Malignant,HLA-DMA,CD9,13.928723825946623,Macrophage_HLA-DMA_Malignant_CD9
Malignant,Stroma,HLA-C,CAP1,16.532874421063656,Malignant_HLA-C_Stroma_CAP1
Malignant,Stroma,HLA-A,LAMP2,18.797327947648288,Malignant_HLA-A_Stroma_LAMP2
Malignant,Stroma,APP,CD74,19.335527185164242,Malignant_APP_Stroma_CD74
Macrophage,Malignant,LYZ,CD55,14.94164985994253,Macrophage_LYZ_Malignant_CD55
Malignant,Stroma,HLA-C,LAMP2,16.944632776559327,Malignant_HLA-C_Stroma_LAMP2
Macrophage,Stroma,ANXA2,LAMP2,11.305260822581781,Macrophage_ANXA2_Stroma_LAMP2
Macrophage,Malignant,HLA-DMA,ITGB5,9.747340501581874,Macrophage_HLA-DMA_Malignant_ITGB5
Macrophage,Stroma,HLA-DMA,ITGB5,9.890737155525107,Macrophage_HLA-DMA_Stroma_ITGB5
Macrophage,Stroma,PSAP,LAMP2,17.11984967724413,Macrophage_PSAP_Stroma_LAMP2
Macrophage,Malignant,ANXA2,ERBB2,14.480131598843931,Macrophage_ANXA2_Malignant_ERBB2
Stroma,Macrophage,TIMP3,ENO1,14.387932585370526,Stroma_TIMP3_Macrophage_ENO1
Stroma,Malignant,TIMP3,ENO1,14.462356366739401,Stroma_TIMP3_Malignant_ENO1
