Sender,Receiver,Ligand,Receptor,LRscore
Macrophage,Stroma,C1QA,ITGB5,0.1497371808114175
Macrophage,Malignant,C1QA,ADORA2A,0.14851136436363124
Macrophage,Malignant,C1QA,CD55,0.17351227926478793
Macrophage,Malignant,C1QA,CD74,0.30683541387141233
Macrophage,Malignant,C1QA,MAGED1,0.1222014300715387
Macrophage,Malignant,C1QA,PLXNA3,0.06667151306291562
Macrophage,Malignant,C1QA,SDC1,0.18409302733197516
Macrophage,Malignant,C1QA,CD151,0.20725191465179416
Macrophage,Malignant,C1QA,CD9,0.24734702073821066
Macrophage,Malignant,C1QA,FLOT1,0.19037841627461335
Macrophage,Malignant,C1QA,IFITM1,0.1771875666790498
Macrophage,Malignant,C1QA,IL13RA1,0.10050931061381418
Macrophage,Malignant,C1QA,IL6ST,0.2332158770383157
Macrophage,Malignant,C1QA,AMFR,0.16754372797523315
Macrophage,Malignant,C1QA,BAMBI,0.25603640413384776
Macrophage,Malignant,C1QA,CD47,0.12043185997519837
Macrophage,Malignant,C1QA,ERBB2,0.20879294639654628
Macrophage,Malignant,C1QA,PRLR,0.15436973053426042
Macrophage,Malignant,C1QA,ATP6AP2,0.16708498773939098
Macrophage,Malignant,C1QA,CD163,0.04649647846509499
Macrophage,Malignant,C1QA,CD44,0.13157665243526792
Macrophage,Malignant,C1QA,ENO1,0.21182082547433806
Macrophage,Malignant,C1QA,FPR3,0.027191165906517815
Macrophage,Malignant,C1QA,ITGB5,0.16146780204293118
Macrophage,Malignant,C1QA,PLXNB2,0.1859070447028993
Macrophage,Malignant,C1QA,TREM2,0.02689853994920272
Macrophage,Malignant,C1QA,TYROBP,0.13799184722530752
Macrophage,Malignant,C1QA,GFRA1,0.1842787163805237
Macrophage,Malignant,C1QA,LDLR,0.042850333728470656
Macrophage,Malignant,C1QA,CD63,0.25118780032230403
Macrophage,Malignant,C1QA,MRC2,0.052415741192773674
Macrophage,Bcell,C1QA,CD74,0.11173972721723753
Macrophage,Stroma,HLA-DRA,CD74,0.3687225842279635
Macrophage,Stroma,HLA-DRA,CD81,0.29326270357525847
Macrophage,Stroma,HLA-DRA,FLOT1,0.216683804098352
Macrophage,Stroma,HLA-DRA,IL6ST,0.25168160779150184
Macrophage,Stroma,HLA-DRA,LAMP2,0.1708052144248432
Macrophage,Stroma,HLA-DRA,CAP1,0.1667908105390485
Macrophage,Stroma,HLA-DRA,ITGB5,0.19372324943347338
Macrophage,Malignant,HLA-DRA,ADORA2A,0.19274882219591094
Macrophage,Malignant,HLA-DRA,CD55,0.22242519669688898
Macrophage,Malignant,HLA-DRA,CD74,0.36910642282717654
Macrophage,Malignant,HLA-DRA,MAGED1,0.16070932298214186
Macrophage,Malignant,HLA-DRA,PLXNA3,0.0902108783567009
Macrophage,Malignant,HLA-DRA,SDC1,0.23476581106454925
Macrophage,Malignant,HLA-DRA,CD151,0.26133534444572476
Macrophage,Malignant,HLA-DRA,CD9,0.30595316587094773
Macrophage,Malignant,HLA-DRA,FLOT1,0.2420362650301636
Macrophage,Malignant,HLA-DRA,IFITM1,0.2267263301522406
Macrophage,Malignant,HLA-DRA,IL13RA1,0.1336457694740963
Macrophage,Malignant,HLA-DRA,IL6ST,0.2904232882596316
Macrophage,Malignant,HLA-DRA,AMFR,0.21540703242344464
